gen_id,gen_adi,WT_1,WT_2,WT_3,KO_1,KO_2,KO_3
ENSMUSG00000016541.11,Atxn10,831,825,1834,1295,1773,1575
ENSMUSG00000016552.14,Foxred2,32,22,85,55,70,40
ENSMUSG00000016554.10,Eif3d,5612,5665,12718,4192,7292,5573
ENSMUSG00000016559.15,H3f3b,9428,8315,22554,7081,9272,8949
ENSMUSG00000016619.11,Nup50,1785,1533,5328,1599,2743,1881
ENSMUSG00000016624.16,Phf21b,2,2,9,10,14,14
ENSMUSG00000016626.11,Nlrp14,0,0,0,0,0,0
ENSMUSG00000016637.8,Ift27,162,161,354,129,197,130
ENSMUSG00000016664.18,Pacsin2,1780,1201,5905,893,1587,993
ENSMUSG00000016756.18,Cmah,233,75,1046,182,467,296
ENSMUSG00000016757.12,Ttll12,2410,2092,5692,525,908,691
ENSMUSG00000016758.5,Bik,9,13,26,16,16,28
ENSMUSG00000016763.16,Scube1,1,1,7,3,2,1
ENSMUSG00000016831.13,Tox4,699,494,2207,1066,1716,1136
ENSMUSG00000016833.15,Mrps18c,1333,1610,2324,884,1199,1287
ENSMUSG00000016918.16,Sulf1,19,38,93,45,96,56
ENSMUSG00000016921.15,Srsf6,5227,3565,12862,5241,7969,4719
ENSMUSG00000016933.18,Plcg1,145,164,659,362,517,506
ENSMUSG00000016940.19,Kctd2,175,233,545,301,410,279
ENSMUSG00000016942.7,Tmprss6,160,107,697,124,263,139
ENSMUSG00000016946.7,Kctd5,272,224,723,309,444,296
ENSMUSG00000016982.7,Pom121l2,0,0,0,0,0,0
ENSMUSG00000016984.8,Etaa1,361,207,657,247,335,316
ENSMUSG00000016995.18,Matn4,2,0,5,3,13,5
ENSMUSG00000016998.3,Svs4,0,0,0,0,0,0
ENSMUSG00000017000.3,Svs6,0,0,0,0,0,0
ENSMUSG00000017002.15,Slpi,147,225,497,267,296,403
ENSMUSG00000017003.8,Svs3a,0,0,0,0,0,0
ENSMUSG00000017004.8,Svs5,0,0,0,0,0,0
ENSMUSG00000017007.10,Rbpjl,0,0,1,1,1,0
ENSMUSG00000017009.4,Sdc4,210,238,773,208,344,363
ENSMUSG00000017049.5,Ccdc70,0,0,0,0,0,0
ENSMUSG00000017057.10,Il13ra1,51,51,118,62,86,119
ENSMUSG00000017064.5,Prl5a1,0,0,0,0,0,0
ENSMUSG00000017119.21,Nbr1,1575,844,4263,1300,1972,1467
ENSMUSG00000017132.19,Cyth1,83,56,240,142,229,129
ENSMUSG00000017144.9,Rnd3,82,60,238,88,139,166
ENSMUSG00000017146.13,Brca1,1430,842,3260,1034,1857,1095
ENSMUSG00000017165.2,Gast,0,0,0,0,1,0
ENSMUSG00000017167.7,Cntnap1,5,4,26,15,24,23
ENSMUSG00000017176.18,Nt5c3b,194,153,490,228,326,250
ENSMUSG00000017188.4,Coa3,764,887,1666,596,818,875
ENSMUSG00000017195.16,Zpbp2,13,7,25,16,14,11
ENSMUSG00000017204.5,Gsdma,0,0,1,6,16,1
ENSMUSG00000017210.15,Med24,1016,746,2797,1392,2369,1242
ENSMUSG00000017211.15,Gsdma2,0,0,0,0,0,0
ENSMUSG00000017221.15,Psmd3,2719,2445,10024,3107,5382,2977
ENSMUSG00000017264.17,Exosc10,1182,720,3859,978,1853,1170
ENSMUSG00000017286.16,Glod4,585,437,1511,428,707,703
ENSMUSG00000017288.16,Vps53,235,244,573,302,427,336
ENSMUSG00000017291.14,Taok1,539,324,1037,708,837,709
ENSMUSG00000017299.14,Dnttip1,871,926,2426,497,855,670
ENSMUSG00000017300.10,Tnnc2,0,2,8,2,29,0
ENSMUSG00000017307.17,Acot8,337,276,632,354,537,328
ENSMUSG00000017309.12,Cd300lg,5,33,40,16,15,27
ENSMUSG00000017310.8,Spint4,0,0,0,0,0,0
ENSMUSG00000017311.16,Pyy,0,0,0,0,0,0
ENSMUSG00000017314.13,Mpp2,722,506,2991,492,939,425
ENSMUSG00000017316.14,Ppy,0,0,0,0,0,0
ENSMUSG00000017344.5,Vtn,1964,1616,9169,2229,3190,2983
ENSMUSG00000017376.16,Nlk,247,209,577,386,547,514
ENSMUSG00000017386.11,Traf4,1004,765,2225,487,762,425
ENSMUSG00000017390.16,Aldoc,57,43,121,145,171,216
ENSMUSG00000017400.11,Stac2,0,1,1,6,2,2
ENSMUSG00000017404.13,Rpl19,19813,19400,36217,13315,20817,17703
ENSMUSG00000017405.15,Nek8,249,142,693,196,255,135
ENSMUSG00000017412.17,Cacnb4,8,0,9,1,10,4
ENSMUSG00000017417.15,Plxdc1,7,3,13,4,5,3
ENSMUSG00000017418.15,Arl5b,145,83,295,177,286,233
ENSMUSG00000017421.19,Zfp207,3324,2176,6170,3271,4830,3612
ENSMUSG00000017428.17,Psmd11,1904,1437,3902,1880,2746,1712
ENSMUSG00000017446.15,C1qtnf1,16,19,155,17,33,64
ENSMUSG00000017453.5,Pipox,84,45,281,56,97,80
ENSMUSG00000017466.11,Timp2,93,105,367,86,158,104
ENSMUSG00000017478.16,Zc3h18,1097,630,4866,1115,2291,1067
ENSMUSG00000017485.12,Top2b,1729,839,4391,1410,2007,1571
ENSMUSG00000017491.10,Rarb,4,0,27,3,11,8
ENSMUSG00000017493.13,Igfbp4,1270,1888,6689,2095,2845,2929
ENSMUSG00000017499.16,Cdc6,3082,1621,7363,1481,2828,1310
ENSMUSG00000017548.16,Suz12,1988,969,4684,1730,2509,1926
ENSMUSG00000017550.15,Atad5,967,514,2048,663,897,710
ENSMUSG00000017561.17,Crlf3,2849,1916,4743,1773,2480,1672
ENSMUSG00000017588.3,Krt27,0,0,0,0,0,0
